Input Layer,Hidden Layer,Neuron per hidden layer,Output,RAM (kb),Flash (kb),Training Time (s),Prediction (ms), Accuracy,Accuracy/Time ratio
784,1,1,10,427.000,18.000,0.382,31.254,10.000,26.200
784,1,2,10,427.000,25.000,0.700,59.997,17.550,25.064
784,1,3,10,427.000,31.000,1.010,87.456,10.610,10.506
784,1,4,10,427.000,37.000,1.329,115.960,12.250,9.217
784,1,5,10,427.000,43.000,1.633,143.391,11.260,6.895
784,1,6,10,427.000,49.000,1.937,168.513,8.450,4.362
784,1,7,10,427.000,56.000,2.223,196.607,5.780,2.600
784,1,8,10,427.000,62.000,2.531,229.225,9.260,3.659
784,1,9,10,427.000,68.000,2.857,273.622,11.090,3.882
784,1,10,10,427.000,74.000,3.142,284.349,10.240,3.259
784,1,11,10,427.000,81.000,3.441,312.685,10.240,2.976
784,1,12,10,427.000,87.000,3.736,340.829,10.440,2.795
784,1,13,10,428.000,93.000,4.026,370.819,11.850,2.943
784,1,14,10,428.000,99.000,4.332,394.788,11.900,2.747
784,1,15,10,429.000,105.000,4.648,426.050,6.790,1.461
784,1,16,10,430.000,112.000,5.125,489.254,11.920,2.326
784,1,17,10,430.000,118.000,5.214,481.341,12.640,2.424
784,1,18,10,431.000,124.000,5.509,506.752,13.690,2.485
784,1,19,10,431.000,130.000,5.818,538.626,8.730,1.500
784,2,1,10,432.000,18.000,0.391,31.794,10.100,25.829
784,2,2,10,432.000,25.000,0.701,60.209,9.820,14.002
784,2,3,10,433.000,31.000,1.021,88.129,9.780,9.581
784,2,4,10,434.000,37.000,1.326,116.280,9.530,7.189
784,2,5,10,434.000,43.000,1.646,144.349,4.840,2.940
784,2,6,10,435.000,50.000,1.975,172.776,10.650,5.393
784,2,7,10,435.000,56.000,2.260,200.962,7.330,3.243
784,2,8,10,436.000,63.000,2.556,230.600,8.120,3.176
784,2,9,10,437.000,69.000,5.739,259.507,85.370,14.876
784,2,10,10,437.000,75.000,6.376,286.573,86.400,13.550
784,2,11,10,438.000,82.000,3.497,316.606,8.390,2.399
784,2,12,10,439.000,88.000,7.890,346.054,88.130,11.169
784,2,13,10,439.000,95.000,8.230,375.256,85.220,10.355
784,2,14,10,440.000,101.000,13.310,401.633,90.250,6.780
784,2,15,10,440.000,108.000,14.268,429.692,89.620,6.281
784,2,16,10,441.000,114.000,5.078,460.493,8.240,1.623
784,2,17,10,442.000,121.000,16.088,488.062,91.500,5.688
784,2,18,10,442.000,127.000,11.377,520.701,91.170,8.013
784,2,19,10,443.000,134.000,6.013,548.597,8.040,1.337
784,3,1,10,443.000,18.000,0.390,32.089,10.100,25.893
784,3,2,10,444.000,25.000,0.709,60.583,10.090,14.224
784,3,3,10,444.000,31.000,1.023,88.165,14.860,14.520
784,3,4,10,445.000,37.000,1.345,116.688,8.230,6.121
784,3,5,10,446.000,44.000,1.657,145.361,12.550,7.573
784,3,6,10,446.000,50.000,1.974,173.804,9.700,4.913
784,3,7,10,447.000,57.000,2.292,202.758,10.610,4.629
784,3,8,10,448.000,63.000,2.596,232.411,10.780,4.153
784,3,9,10,448.000,70.000,2.918,261.291,7.990,2.738
