Input Layer,Hidden Layer,Neuron per hidden layer,Output,RAM (kb),Flash (kb),Training Time (s),Prediction (ms), Accuracy,Accuracy/Time ratio
784,1,1,10,427.000,18.000,0.395,32.491,9.280,23.521
784,1,2,10,427.000,25.000,0.694,58.490,13.220,19.048
784,1,3,10,427.000,31.000,1.007,85.560,7.390,7.339
784,1,4,10,427.000,37.000,1.315,112.476,11.260,8.560
784,1,5,10,427.000,43.000,1.628,139.945,11.350,6.973
784,1,6,10,427.000,49.000,7.715,169.500,88.520,11.474
784,1,7,10,427.000,56.000,6.689,195.066,88.470,13.225
784,1,8,10,427.000,62.000,5.069,225.417,87.900,17.342
784,1,9,10,427.000,68.000,19.850,258.377,89.780,4.523
784,1,10,10,427.000,74.000,25.413,285.089,91.380,3.596
784,1,11,10,427.000,81.000,27.609,313.475,91.620,3.318
784,1,12,10,427.000,87.000,14.969,336.275,92.330,6.168
784,1,13,10,428.000,93.000,12.142,368.843,91.560,7.541
784,1,14,10,428.000,99.000,43.846,399.853,92.800,2.117
784,1,15,10,429.000,105.000,18.615,489.864,92.210,4.954
784,1,16,10,430.000,112.000,24.607,455.293,93.020,3.780
784,1,17,10,430.000,118.000,21.465,481.609,92.960,4.331
784,1,18,10,431.000,124.000,22.061,528.317,92.090,4.174
784,1,19,10,431.000,130.000,23.302,536.689,93.950,4.032
784,2,1,10,432.000,18.000,0.397,33.168,10.100,25.412
784,2,2,10,432.000,25.000,0.720,60.137,9.820,13.643
784,2,3,10,433.000,31.000,1.021,88.183,10.320,10.109
784,2,4,10,434.000,37.000,1.333,116.745,10.320,7.741
784,2,5,10,434.000,43.000,1.861,143.722,7.090,3.810
784,2,6,10,435.000,50.000,9.789,173.602,87.040,8.892
784,2,7,10,435.000,56.000,6.740,203.582,88.060,13.065
784,2,8,10,436.000,63.000,20.761,231.243,90.750,4.371
784,2,9,10,437.000,69.000,8.666,260.444,89.310,10.306
784,2,10,10,437.000,75.000,12.781,292.183,90.040,7.045
784,2,11,10,438.000,82.000,14.034,317.458,90.980,6.483
784,2,12,10,439.000,88.000,11.442,345.201,90.650,7.923
784,2,13,10,439.000,95.000,29.375,381.700,92.940,3.164
784,2,14,10,440.000,101.000,17.758,402.635,92.120,5.188
784,2,15,10,440.000,108.000,19.011,429.819,93.270,4.906
784,2,16,10,441.000,114.000,15.177,460.806,91.890,6.055
784,2,17,10,442.000,121.000,21.467,492.190,92.830,4.324
784,2,18,10,442.000,127.000,34.478,520.574,94.020,2.727
784,2,19,10,443.000,134.000,30.385,571.150,94.260,3.102
784,3,1,10,443.000,18.000,0.391,32.544,10.100,25.806
784,3,2,10,444.000,25.000,0.715,61.648,10.090,14.116
