generation,cross_entropy,validation_error
0,0.551,39.364
500,2.056,161.990
1000,0.679,100.826
1500,1.538,102.082
2000,1.237,88.346
2500,0.171,70.205
3000,1.745,69.045
3500,1.000,59.751
4000,0.113,44.413
4500,0.458,44.898
5000,0.123,45.846
5500,0.044,46.228
6000,0.118,39.642
6500,0.228,39.451
7000,0.539,44.205
7500,0.037,40.843
8000,0.077,45.931
8500,0.119,34.354
9000,0.196,41.264
9500,0.138,38.356
10000,0.077,38.448
10500,0.085,31.102
11000,0.113,33.896
11500,0.208,32.891
12000,0.397,36.458
12500,0.178,36.818
13000,0.088,32.353
13500,0.266,28.522
14000,0.036,27.383
14500,0.626,25.782
15000,0.272,22.211
15500,2.088,23.493
16000,0.115,25.305
16500,0.087,25.002
17000,1.000,25.568
17500,0.352,22.799
18000,0.130,27.558
18500,0.211,23.948
19000,0.207,20.727
19500,0.058,19.013
20000,0.059,23.826
20500,0.039,23.627
21000,0.077,28.437
21500,0.116,24.368
22000,0.107,21.610
22500,0.048,25.176
23000,0.044,26.486
23500,0.134,24.520
24000,0.196,27.115
24500,0.063,24.843
25000,0.148,22.257
25500,0.046,29.030
26000,0.195,28.780
26500,0.023,22.004
27000,0.158,22.299
27500,0.215,25.574
28000,0.022,21.779
28500,0.066,23.968
29000,0.036,21.500
29500,0.041,28.216
30000,0.037,25.825
30500,0.196,20.719
31000,0.134,21.195
31500,0.137,27.331
32000,0.087,19.298
32500,0.255,25.187
33000,0.116,20.990
33500,0.044,23.766
34000,0.137,19.611
34500,11.367,20.483
35000,0.020,25.860
35500,0.388,23.090
36000,0.128,19.751
36500,0.076,19.685
37000,0.163,22.623
37500,0.050,26.196
38000,0.057,21.988
38500,0.097,20.014
39000,6.491,22.658
39500,0.018,22.333
40000,0.035,27.317
40500,0.005,19.428
41000,0.039,25.517
41500,0.506,17.330
42000,0.011,17.308
42500,0.094,18.947
43000,2.043,20.141
43500,0.024,20.827
44000,0.034,24.072
44500,0.039,21.586
45000,0.160,24.195
45500,0.130,19.732
46000,0.111,21.610
46500,0.041,21.649
47000,0.055,19.550
47500,0.151,20.805
48000,0.233,24.311
48500,0.043,23.140
49000,0.083,23.527
49500,0.024,19.132
50000,0.170,23.215
50500,0.053,26.055
51000,0.018,20.157
51500,0.005,19.860
52000,0.054,24.927
52500,0.079,17.692
53000,0.040,23.945
53500,0.051,18.970
54000,0.626,24.257
54500,0.139,25.514
55000,0.016,23.338
55500,0.022,21.913
56000,0.013,18.896
56500,0.049,21.405
57000,0.027,20.788
57500,0.015,17.976
58000,0.083,17.612
58500,0.031,16.763
59000,0.084,16.125
59500,0.100,17.456
60000,0.486,20.157
60500,6.162,18.161
61000,0.029,16.333
61500,0.054,17.665
62000,9.880,18.257
62500,0.229,16.955
63000,0.186,20.451
63500,0.141,16.649
64000,0.005,19.322
64500,0.374,16.590
65000,0.005,17.777
65500,0.011,19.472
66000,0.027,17.713
66500,0.028,16.997
67000,0.145,19.410
67500,0.057,20.722
68000,0.041,16.901
68500,0.023,18.525
69000,0.075,19.160
69500,0.251,22.355
70000,0.016,19.135
70500,0.119,18.434
71000,0.056,19.363
71500,0.374,19.570
72000,0.407,20.256
72500,0.041,19.424
73000,0.062,24.295
73500,0.073,20.395
74000,0.013,18.639
74500,1.242,27.533
75000,0.102,19.815
75500,1.999,16.610
76000,0.091,20.572
76500,0.054,19.516
77000,0.593,17.109
77500,0.125,17.879
78000,0.053,18.509
78500,0.096,15.575
79000,0.360,13.139
79500,0.009,15.912
80000,0.051,16.978
80500,0.013,16.947
81000,0.070,22.488
81500,0.050,21.467
82000,0.035,13.197
82500,0.016,16.429
83000,0.034,15.336
83500,0.057,20.293
84000,0.158,17.887
84500,0.045,17.677
85000,0.128,16.738
85500,0.039,17.252
86000,0.061,17.448
86500,0.023,16.798
87000,1.544,19.562
87500,0.193,22.372
88000,0.020,17.552
88500,0.124,17.213
89000,0.022,17.852
89500,0.058,14.367
90000,0.011,17.581
90500,0.064,18.748
91000,0.647,15.336
91500,0.172,17.025
92000,0.144,15.458
92500,0.196,14.715
93000,0.139,15.769
93500,0.013,14.248
94000,0.136,14.026
94500,9.815,12.879
95000,0.009,14.357
95500,0.057,14.483
96000,0.053,12.012
96500,0.051,12.544
97000,0.129,14.544
97500,0.035,20.541
98000,0.083,17.570
98500,0.056,13.287
99000,2.529,14.303
99500,0.007,15.061
100000,0.042,15.623
100500,0.002,12.993
101000,0.033,18.336
101500,1.898,12.624
102000,0.006,12.646
102500,0.099,12.829
103000,0.061,17.192
103500,0.015,15.266
104000,0.026,15.935
104500,0.417,15.152
105000,0.060,17.767
105500,0.097,14.599
106000,0.110,15.600
106500,0.014,16.850
107000,0.143,13.830
107500,0.165,16.451
108000,0.201,17.122
108500,0.013,15.669
109000,0.052,15.715
109500,0.031,16.717
110000,0.141,20.734
110500,0.052,19.584
111000,0.019,16.717
111500,0.001,13.567
112000,0.027,15.043
112500,0.042,17.003
113000,0.070,19.667
113500,0.020,17.184
114000,0.096,16.155
114500,0.079,14.352
115000,0.008,21.184
115500,0.010,16.462
116000,0.010,15.259
116500,0.039,11.855
117000,0.029,12.238
117500,0.019,11.251
118000,0.378,11.816
118500,0.039,10.913
119000,0.086,10.615
119500,0.063,15.032
120000,0.162,12.600
120500,7.237,13.481
121000,0.032,13.971
121500,0.044,15.328
122000,9.946,12.290
122500,0.060,12.771
123000,0.169,13.438
123500,0.102,17.492
124000,0.001,13.821
124500,0.650,11.571
125000,0.001,13.265
125500,0.007,12.582
126000,0.044,11.146
126500,0.025,11.572
127000,0.219,15.777
127500,0.031,12.965
128000,0.042,12.721
128500,0.034,12.765
129000,0.080,13.815
129500,0.168,16.712
130000,0.011,12.872
130500,0.127,15.156
131000,0.039,13.031
131500,0.147,13.257
132000,0.492,14.132
132500,0.480,16.278
133000,0.051,16.883
133500,0.072,15.570
134000,0.007,16.916
134500,0.445,17.600
135000,0.115,13.730
135500,1.010,14.148
136000,0.062,16.611
136500,0.043,18.464
137000,0.031,19.169
137500,0.050,16.706
138000,0.038,18.503
138500,0.084,13.936
139000,0.191,16.827
139500,0.012,17.861
140000,0.092,18.813
140500,0.009,15.178
141000,0.055,21.818
141500,0.065,16.958
142000,0.040,13.324
142500,0.020,14.796
143000,0.023,13.170
143500,0.028,18.757
144000,0.175,18.079
144500,0.039,19.909
145000,0.056,21.449
